"citycode","city_name","lon","lat","climate","childprop","pop","pwd_g"
110000,"北京市",116.4123164,40.18512131,"Temperate",0.0860394318523903,21893095,3281.3550279801
120000,"天津市",117.3318428,39.30931038,"Temperate",0.0979672367216689,13866009,2530.63741882274
130100,"石家庄市",114.4587619,38.14197814,"Temperate",0.15231771855139,11235086,1166.30251614297
130400,"邯郸市",114.5579981,36.55300912,"Temperate",0.207142524706303,9413990,792.366065929127
130500,"邢台市",114.8282915,37.22120133,"Temperate",0.177943225203801,7111106,602.493410546277
130600,"保定市",115.1782473,39.0288101,"Temperate",0.171138701537968,11544036,619.45610135846
130700,"张家口市",115.0304694,40.86577314,"Temperate",0.15917808944226,4118908,189.27792326526
130900,"沧州市",116.7475282,38.27290979,"Temperate",0.179228467596721,7300783,519.519187496153
131100,"衡水市",115.8341846,37.77241549,"Temperate",0.1611977866615,4212933,429.793919325847
140200,"大同市",113.718825,39.90330022,"Temperate",0.168839024319677,3105591,752.049282819767
140500,"晋城市",112.7274236,35.61705162,"Temperate",0.169431444935954,2194545,453.12557227491
141000,"临汾市",111.3820976,36.23167885,"Temperate",0.179949080412639,3976481,366.894174071034
310000,"上海市",121.4184791,31.18159247,"Subtropical",0.0861393682038243,24870895,5465.63676551106
320100,"南京市",118.8418892,31.93949608,"Subtropical",0.0951474709835797,9314685,2789.91862594592
320200,"无锡市",120.0802062,31.53089477,"Subtropical",0.102969236786088,7462135,2323.83878032846
330100,"杭州市",119.4516245,29.90166158,"Subtropical",0.113912012737845,11936010,1628.14241575657
330200,"宁波市",121.4750037,29.70772658,"Subtropical",0.116867649991999,9404283,1357.0993297915
330600,"绍兴市",120.6389817,29.72053533,"Subtropical",0.127819717240957,5270977,930.416130779195
330700,"金华市",119.957975,29.12366456,"Subtropical",0.142298005137299,7050683,826.727812281768
331000,"台州市",121.0974192,28.77922561,"Subtropical",0.154600275631538,6622888,1000.64997905566
331100,"丽水市",119.5173296,28.20499761,"Subtropical",0.169278355677513,2507396,174.988769171497
340100,"合肥市",117.3602223,31.76792383,"Subtropical",0.140499215602513,9369881,1406.70327207133
340500,"马鞍山市",118.3639215,31.6425446,"Subtropical",0.127771898160143,2159930,721.741392559483
341000,"黄山市",118.069342,29.91777001,"Subtropical",0.133937953465099,1330565,186.691393265871
341100,"滁州市",118.100476,32.55277464,"Subtropical",0.172046904568665,3987054,321.05814972116
341200,"阜阳市",115.6979217,32.92375482,"Temperate",0.230794747255659,8200264,702.24023505539
341500,"六安市",116.313643,31.76335906,"Subtropical",0.17704328865704,4393699,323.682715679788
341700,"池州市",117.372194,30.29684126,"Subtropical",0.16324282469102,1342764,213.12125619924
350100,"福州市",119.1742213,26.05925711,"Subtropical",0.144917150466828,8677249,1619.34192289933
350500,"泉州市",118.2598571,25.21051891,"Subtropical",0.145030474748642,8782285,1471.36020820611
360100,"南昌市",116.0231409,28.65425797,"Subtropical",0.184655193407483,6255007,1624.61644962231
360600,"鹰潭市",117.1100428,28.23542666,"Subtropical",0.216018045497691,1154223,425.903833074079
360700,"赣州市",115.2723673,25.71261078,"Subtropical",0.245987337913474,8970014,257.946963019807
360800,"吉安市",114.8282196,26.97969654,"Subtropical",0.210207222401581,4469176,193.74406714479
361100,"上饶市",117.4704639,28.78110729,"Subtropical",0.236987075642878,6491088,327.33335486056
371400,"德州市",116.6590077,37.25912339,"Temperate",0.166453104080557,5611194,493.892733749792
371500,"聊城市",115.8877403,36.46735375,"Temperate",0.169676035512412,5952128,609.964034852805
371700,"菏泽市",115.6902397,35.16280808,"Temperate",0.207888853991093,8795939,572.191570575096
410300,"洛阳市",112.0361064,34.29756077,"Temperate",0.200479821115946,7056699,717.611124414191
410400,"平顶山市",113.0204946,33.79670179,"Temperate",0.202360755528217,4987137,729.946437796726
410500,"安阳市",114.3780411,35.87623116,"Temperate",0.218568318027491,5477614,818.715396264794
410700,"新乡市",114.1010012,35.2653733,"Temperate",0.209866313162962,6251929,780.605360896968
411300,"南阳市",112.289037,33.05038221,"Subtropical",0.228889499457309,9713112,444.561269942567
411400,"商丘市",115.7030614,34.29221879,"Temperate",0.213418217500399,7816831,630.531384798796
411500,"信阳市",114.8894318,32.09146187,"Subtropical",0.235129657269001,6234401,316.68320191167
411600,"周口市",114.8790296,33.73131349,"Temperate",0.238428674864384,9026015,648.352653565486
411700,"驻马店市",114.1513626,32.92957011,"Temperate",0.22845353918847,7008427,435.967148203168
420100,"武汉市",114.3510134,30.63075108,"Subtropical",0.0998373288826156,12326518,3047.62998671722
421000,"荆州市",112.5855881,30.00615531,"Subtropical",0.132086911712075,5231180,478.082308053858
421100,"黄冈市",115.339376,30.72781768,"Subtropical",0.163074772450617,5882719,347.467726355406
422800,"恩施土家族苗族自治州",109.5460503,30.20444846,"Subtropical",0.186826465963224,3456136,147.72674050989
430100,"长沙市",113.155415,28.2335026,"Subtropical",0.135680942008978,10047914,1240.01077656588
430200,"株洲市",113.5218273,27.11611363,"Subtropical",0.151277384563532,3902738,549.728980567496
430500,"邵阳市",110.8742687,26.91664445,"Subtropical",0.213902528870214,6563520,392.938790487969
430600,"岳阳市",113.2590313,29.07264365,"Subtropical",0.160158974917112,5051922,542.181639391428
431000,"郴州市",113.1387796,25.81892776,"Subtropical",0.219112950256036,4667134,269.501674795262
431100,"永州市",111.7269246,25.77581319,"Subtropical",0.207638409595179,5289824,240.238977105211
431200,"怀化市",110.0778099,27.55547182,"Subtropical",0.171016643281812,4587594,204.197558164383
431300,"娄底市",111.6118766,27.73934478,"Subtropical",0.19201460431841,3826996,547.12387031013
440100,"广州市",113.5313339,23.36703028,"Subtropical",0.114655799252209,18676605,4238.0310360063
440200,"韶关市",113.7706565,24.82680323,"Subtropical",0.184787169977419,2855131,233.569243688963
440300,"深圳市",114.1340548,22.66423532,"Subtropical",0.0989619902955877,17560061,7265.33404047674
440400,"珠海市",113.3584505,22.17372681,"Subtropical",0.135658195362649,2439585,1880.37256476591
440600,"佛山市",112.9389982,23.01641754,"Subtropical",0.118787994654732,9498863,2476.33046320732
440700,"江门市",112.6660854,22.28034736,"Subtropical",0.142940339986739,4798090,861.623868657623
441200,"肇庆市",112.2006046,23.53756078,"Subtropical",0.210479240601287,4113594,376.430959003005
441300,"惠州市",114.4969594,23.24999063,"Subtropical",0.174315555708266,6042852,619.996544794461
441500,"汕尾市",115.5348302,23.02638486,"Subtropical",0.244649832786516,2672819,698.591224790134
441600,"河源市",114.9574868,24.04965998,"Subtropical",0.239926852292815,2837686,238.601347952352
441700,"阳江市",111.768174,22.03875081,"Subtropical",0.183210226662725,2602959,534.272688456505
441800,"清远市",112.8716376,24.322258,"Subtropical",0.19371070610846,3969473,305.058609458095
441900,"东莞市",113.8783936,22.94518485,"Subtropical",0.0828011995318366,10466625,3390.97503757013
442000,"中山市",113.3668904,22.52460664,"Subtropical",0.117043195489023,4418060,2259.94132969158
450100,"南宁市",108.4628276,23.0532993,"Subtropical",0.181362785943651,8741584,508.788964341949
5e+05,"重庆市",107.88236,30.06566399,"Subtropical",0.169983051476158,32054159,503.595819405029
510100,"成都市",103.8204369,30.69897033,"Subtropical",0.109402834998799,20937757,2513.48824493026
520100,"贵阳市",106.7064581,26.83862992,"Subtropical",0.170372258803765,5987018,1877.97441079697
530100,"昆明市",102.8715577,25.38662468,"Subtropical",0.154978950466317,8460088,894.716681270456
610100,"西安市",108.7969201,34.11600269,"Temperate",0.128871619886918,12952907,2144.21211422333
610700,"汉中市",107.1061704,33.09518002,"Subtropical",0.154534166072438,3211462,193.539744803632
620500,"天水市",105.7378806,34.65123958,"Temperate",0.208445604954899,2984659,284.973003323115
621100,"定西市",104.4486742,35.12085742,"Temperate",0.183887047621306,2524097,128.256520028312
